original,corrected,reference,notes
Psilocybe subviscida var. velata,Psilocybe subviscida var. velata,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Psilocybe%20subviscida%20var.%20velata&spKey=NHMSYS0001495394
Puccinia brachypodii var. arrhenatheri,Puccinia brachypodii var. arrhenatheri,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20brachypodii%20var.%20arrhenatheri&spKey=NHMSYS0001495509
Puccinia brachypodii var. brachypodii,Puccinia brachypodii var. brachypodii,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20brachypodii%20var.%20brachypodii&spKey=NBNSYS0000021835
Puccinia brachypodii var. poae-nemoralis,Puccinia brachypodii var. poae-nemoralis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20brachypodii%20var.%20poae-nemoralis&spKey=NHMSYS0001495510
Puccinia caricina var. caricina,Puccinia caricina var. caricina,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20caricina%20var.%20caricina&spKey=NBNSYS0000021848
Puccinia caricina var. magnusii,Puccinia caricina var. magnusii,BIO_INFO,Found at;  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20caricina%20var.%20magnusii&spKey=NBNSYS0000021849
Puccinia caricina var. pringsheimiana,Puccinia caricina var. pringsheimiana,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20caricina%20var.%20pringsheimiana&spKey=NBNSYS0000021851
Puccinia caricina var. ribesii-pendulae,Puccinia caricina var. ribesii-pendulae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20caricina%20var.%20ribesii-pendulae&spKey=NBNSYS0000021854
Puccinia caricina var. ribis-nigri-lasiocarpae,Puccinia caricina var. ribis-nigri-lasiocarpae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20caricina%20var.%20ribis-nigri-lasiocarpae&spKey=NBNSYS0000021852
Puccinia caricina var. ribis-nigri-paniculatae,Puccinia caricina var. ribis-nigri-paniculatae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20caricina%20var.%20ribis-nigri-paniculatae&spKey=NBNSYS0000021853
Puccinia dioicae var. arenariicola,Puccinia dioicae var. arenariicola,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20dioicae%20var.%20arenariicola&spKey=NBNSYS0000021882
Puccinia dioicae var. dioicae,Puccinia dioicae var. dioicae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20dioicae%20var.%20dioicae&spKey=NBNSYS0000021883
Puccinia dioicae var. extensicola,Puccinia dioicae var. extensicola,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20dioicae%20var.%20extensicola&spKey=NBNSYS0000021884
Puccinia dioicae var. schoeleriana,Puccinia dioicae var. schoeleriana,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20dioicae%20var.%20schoeleriana&spKey=NBNSYS0000021885
Puccinia dioicae var. silvatica,Puccinia dioicae var. silvatica,BIO_INFO,Found at;  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20dioicae%20var.%20silvatica&spKey=NHMSYS0001495585
Puccinia hieracii var. hieracii,Puccinia hieracii var. hieracii,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20hieracii%20var.%20hieracii&spKey=NHMSYS0001495618
Puccinia hieracii var. hypochaeridis,Puccinia hieracii var. hypochaeridis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20hieracii%20var.%20hypochaeridis&spKey=NHMSYS0001495619
Puccinia hieracii var. piloselloidarum,Puccinia hieracii var. piloselloidarum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20hieracii%20var.%20piloselloidarum&spKey=NHMSYS0001495620
Puccinia pazschkei var. jueliana,Puccinia pazschkei var. jueliana,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20pazschkei%20var.%20jueliana&spKey=NHMSYS0001495662
Puccinia pazschkei var. pazschkei,Puccinia pazschkei var. pazschkei,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20pazschkei%20var.%20pazschkei&spKey=BMSSYS0000015674
Puccinia polygoni-amphibii var. convolvuli,Puccinia polygoni-amphibii var. convolvuli,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20polygoni-amphibii%20var.%20convolvuli&spKey=BMSSYS0000015680
Puccinia polygoni-amphibii var. polygoni-amphibii,Puccinia polygoni-amphibii var. polygoni-amphibii,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20polygoni-amphibii%20var.%20polygoni-amphibii&spKey=BMSSYS0000015681
Puccinia pygmaea var. ammophilina,Puccinia pygmaea var. ammophilina,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20pygmaea%20var.%20ammophilina&spKey=NBNSYS0000021951
Puccinia pygmaea var. pygmaea,Puccinia pygmaea var. pygmaea,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20pygmaea%20var.%20pygmaea&spKey=NHMSYS0001495687
Puccinia recondita f.sp. agrostidis,Puccinia recondita f.sp. agrostidis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20recondita%20f.sp.%20agrostidis&spKey=NHMSYS0020470493
Puccinia striiformis var. dactylidis,Puccinia striiformis var. dactylidis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20striiformis%20var.%20dactylidis&spKey=NBNSYS0000021977
Puccinia striiformis var. striiformis,Puccinia striiformis var. striiformis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20striiformis%20var.%20striiformis&spKey=BMSSYS0000015697
Puccinia urticata var. biporula,Puccinia urticata var. biporula,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20urticata%20var.%20biporula&spKey=BMSSYS0000015708
Puccinia urticata var. urticae-acutae,Puccinia urticata var. urticae-acutae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20urticata%20var.%20urticae-acutae&spKey=BMSSYS0000015709
Puccinia urticata var. urticae-acutiformis,Puccinia urticata var. urticae-acutiformis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20urticata%20var.%20urticae-acutiformis&spKey=BMSSYS0000015710
Puccinia urticata var. urticae-flaccae,Puccinia urticata var. urticae-flaccae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20urticata%20var.%20urticae-flaccae&spKey=BMSSYS0000015711
Puccinia urticata var. urticae-hirtae,Puccinia urticata var. urticae-hirtae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20urticata%20var.%20urticae-hirtae&spKey=BMSSYS0000015712
Puccinia urticata var. urticae-inflatae,Puccinia urticata var. urticae-inflatae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20urticata%20var.%20urticae-inflatae&spKey=BMSSYS0000015713
Puccinia urticata var. urticae-paniceae,Puccinia urticata var. urticae-paniceae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20urticata%20var.%20urticae-paniceae&spKey=BMSSYS0000015714
Puccinia urticata var. urticae-ripariae,Puccinia urticata var. urticae-ripariae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20urticata%20var.%20urticae-ripariae&spKey=BMSSYS0000015715
Puccinia urticata var. urticae-vesicariae,Puccinia urticata var. urticae-vesicariae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20urticata%20var.%20urticae-vesicariae&spKey=BMSSYS0000015716
Ramaria fennica var. griseolilacina,Ramaria fennica var. griseolilacina,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Ramaria%20fennica%20var.%20griseolilacina&spKey=NHMSYS0001496050
Ramularia agrestis var. agrestis,Ramularia agrestis var. agrestis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Ramularia%20agrestis%20var.%20agrestis&spKey=NHMSYS0019999918
Ramularia agrestis var. deflectens,Ramularia agrestis var. deflectens,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Ramularia%20agrestis%20var.%20deflectens&spKey=NHMSYS0019999919
Ramularia filaris var. filaris,Ramularia filaris var. filaris,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Ramularia%20filaris%20var.%20filaris&spKey=NHMSYS0019999924
Rhodocollybia prolixa var. prolixa,Rhodocollybia prolixa var. prolixa,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Rhodocollybia%20prolixa%20var.%20prolixa&spKey=NHMSYS0001478449
Russula fragilis var. fragilis,Russula fragilis var. fragilis,BIO_INFO,Found at;  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Russula%20fragilis%20var.%20fragilis&spKey=NHMSYS0001496738
Russula fragilis var. knauthii,Russula fragilis var. knauthii,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Russula%20fragilis%20var.%20knauthii&spKey=NHMSYS0001496739
Ryparobius dubius var. lagopi,Ryparobius dubius var. lagopi,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Ryparobius%20dubius%20var.%20lagopi&spKey=NBNSYS0000019756
Sclerotinia trifoliorum var. fabae,Sclerotinia trifoliorum var. fabae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Sclerotinia%20trifoliorum%20var.%20fabae&spKey=BMSSYS0000016751
Septoria alopecuri var. airae,Septoria alopecuri var. airae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Septoria%20alopecuri%20var.%20airae&spKey=NHMSYS0001493033
Septoria alopecuri var. calamagrostidis,Septoria alopecuri var. calamagrostidis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Septoria%20alopecuri%20var.%20calamagrostidis&spKey=NHMSYS0001497463
Septoria alopecuri var. phalaridis,Septoria alopecuri var. phalaridis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Septoria%20alopecuri%20var.%20phalaridis&spKey=NHMSYS0020819596
Septoria graminum var. moliniae,Septoria graminum var. moliniae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Septoria%20graminum%20var.%20moliniae&spKey=NHMSYS0001497483
Septoria paeoniae var. berolinensis,Septoria paeoniae var. berolinensis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Septoria%20paeoniae%20var.%20berolinensis&spKey=NHMSYS0020536132
Simocybe centunculus var. centunculus,Simocybe centunculus var. centunculus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Simocybe%20centunculus%20var.%20centunculus&spKey=NHMSYS0001497555
Simocybe centunculus var. laevigata,Simocybe centunculus var. laevigata,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Simocybe%20centunculus%20var.%20laevigata&spKey=NHMSYS0001497556
Simocybe centunculus var. maritima,Simocybe centunculus var. maritima,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Simocybe%20centunculus%20var.%20maritima&spKey=NHMSYS0001497557
Simocybe centunculus var. obscura,Simocybe centunculus var. obscura,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Simocybe%20centunculus%20var.%20obscura&spKey=NHMSYS0001497558
Spongospora subterranea f.sp. subterranea,Spongospora subterranea f.sp. subterranea,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Spongospora%20subterranea%20f.sp.%20subterranea&spKey=BMSSYS0000017651
Sporidesmiella hyalosperma var. hyalosperma,Sporidesmiella hyalosperma var. hyalosperma,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Sporidesmiella%20hyalosperma%20var.%20hyalosperma&spKey=BMSSYS0000017663
Stagonospora aquatica var. luzulicola,Stagonospora aquatica var. luzulicola,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Stagonospora%20aquatica%20var.%20luzulicola&spKey=BMSSYS0000017843
Stagonospora arenaria var. minor,Stagonospora arenaria var. minor,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Stagonospora%20arenaria%20var.%20minor&spKey=BMSSYS0000017845
Stagonospora hygrophila var. vermiformis,Stagonospora hygrophila var. vermiformis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Stagonospora%20hygrophila%20var.%20vermiformis&spKey=NHMSYS0020000019
Stropharia squamosa var. thrausta,Stropharia squamosa var. thrausta,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Stropharia%20squamosa%20var.%20thrausta&spKey=BMSSYS0000018142
Suillus bresadolae var. flavogriseus,Suillus bresadolae var. flavogriseus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Suillus%20bresadolae%20var.%20flavogriseus&spKey=NHMSYS0001499271
Tachysphex nitidus s.s.,Tachysphex nitidus s.s.,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Tachysphex%20nitidus%20s.s.&spKey=NHMSYS0000876732
Tachysphex unicolor s.s.,Tachysphex unicolor s.s.,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Tachysphex%20unicolor%20s.s.&spKey=NHMSYS0000873269
Tricholoma atrosquamosum var. atrosquamosum,Tricholoma atrosquamosum var. atrosquamosum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Tricholoma%20atrosquamosum%20var.%20atrosquamosum&spKey=NHMSYS0001500229
Tricholoma atrosquamosum var. squarrulosum,Tricholoma atrosquamosum var. squarrulosum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Tricholoma%20atrosquamosum%20var.%20squarrulosum&spKey=NHMSYS0001500230
Tricholoma saponaceum var. lavedanum,Tricholoma saponaceum var. lavedanum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Tricholoma%20saponaceum%20var.%20lavedanum&spKey=NHMSYS0001500372
Tricholoma saponaceum var. saponaceum,Tricholoma saponaceum var. saponaceum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Tricholoma%20saponaceum%20var.%20saponaceum&spKey=NHMSYS0001500374
Tricholoma saponaceum var. squamosum,Tricholoma saponaceum var. squamosum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Tricholoma%20saponaceum%20var.%20squamosum&spKey=NBNSYS0000037400
Tricholoma sulphureum var. sulphureum,Tricholoma sulphureum var. sulphureum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Tricholoma%20sulphureum%20var.%20sulphureum&spKey=NHMSYS0020000065
Trypoxylon figulus s.s.,Trypoxylon figulus s.s.,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Trypoxylon%20figulus%20s.s.&spKey=NHMSYS0000873272
Uncinula adunca var. adunca,Uncinula adunca var. adunca,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Uncinula%20adunca%20var.%20adunca&spKey=NHMSYS0001481884
Uncinula adunca var. regularis,Uncinula adunca var. regularis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Uncinula%20adunca%20var.%20regularis&spKey=NHMSYS0001481885
Uromyces viciae-fabae var. orobi,Uromyces viciae-fabae var. orobi,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Uromyces%20viciae-fabae%20var.%20orobi&spKey=NHMSYS0001501144
Uromyces viciae-fabae var. viciae-fabae,Uromyces viciae-fabae var. viciae-fabae,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Uromyces%20viciae-fabae%20var.%20viciae-fabae&spKey=NHMSYS0001501145
Utricularia vulgaris sens.lat.,Utricularia vulgaris sens.lat.,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Utricularia%20vulgaris%20sens.lat.&spKey=NBNSYS0000042407
Xylaria cinerea,Xylaria cinerea,BIO_INFO,Found at:  http://www.catalogueoflife.org/col/search/all/key/+Xylaria+cinerea+/match/1
Armillaria mellea s.l.,Armillaria mellea s.l.,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Armillaria%20mellea%20s.l.&spKey=NHMSYS0001474862
Chrysis ignita s.s.,Chrysis ignita s.s.,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Chrysis%20ignita%20s.s.&spKey=NHMSYS0020936552
Cortinarius fulvo-ochrascens var. cyanophyllus,Cortinarius fulvo-ochrascens var. cyanophyllus,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Cortinarius%20fulvo-ochrascens%20var.%20cyanophyllus&spKey=NHMSYS0001479338
Cryptococcus (bot.),Cryptococcus,BIO_INFO,Found at:  http://www.catalogueoflife.org/col/search/all/key/+Cryptococcus/match/1
Curvularia trifolii f.sp. gladioli,Curvularia trifolii f.sp. gladioli,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Curvularia%20trifolii%20f.sp.%20gladioli&spKey=NHMSYS0001479914
Cyathus olla f. anglicus,Cyathus olla f. anglicus,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Cyathus%20olla%20f.%20anglicus&spKey=NHMSYS0001479942
Dasyscyphus imbecillis var. cladii,Dasyscyphus imbecillis var. cladii,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Dasyscyphus%20imbecillis%20var.%20cladii&spKey=BMSSYS0000009241
Dimeromyces corynetis,Dimeromyces corynetis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Dimeromyces%20corynetis&spKey=NBNSYS0000018115
Hygrocybe conica var. olivaceonigra,Hygrocybe conica var. olivaceonigra,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Hygrocybe%20conica%20var.%20olivaceonigra&spKey=NHMSYS0001484458
Hygrophoropsis aurantiaca var. pallida,Hygrophoropsis aurantiaca var. pallida,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Hygrophoropsis%20aurantiaca%20var.%20pallida&spKey=NHMSYS0001484545
Lasius niger s.s.,Lasius niger s.s.,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Lasius%20niger%20s.s.&spKey=NHMSYS0000873238
Leiopus nebulosus s.l.,Leiopus nebulosus s.l.,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Leiopus%20nebulosus%20s.l.&spKey=NBNSYS0000011055
Metzgeria fruticulosa s.s.,Metzgeria fruticulosa s.s.,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Metzgeria%20fruticulosa%20s.s.&spKey=NHMSYS0000310889
Puccinia graminis f.sp. tritici,Puccinia graminis f.sp. tritici,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Puccinia%20graminis%20f.sp.%20tritici&spKey=NBNSYS0000021901
Ramularia lamii var. minor,Ramularia lamii var. minor,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Ramularia%20lamii%20var.%20minor&spKey=BMSSYS0000016057
Sarcoscypha coccinea agg.,Sarcoscypha coccinea agg.,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Sarcoscypha%20coccinea%20agg.&spKey=NHMSYS0019999962
Albugo ipomoeae-panduranae,Albugo ipomoeae-panduratae,BIO_INFO,Found at:  http://eol.org/pages/133577/names
Aondia lauri,Aonidia lauri,BIO_INFO,Found at:  http://eol.org/pages/836330/names
Aposphaeria inophila var. pseudoplatani,Aposphaeria inophila var. pseudoplatani,BIO_INFO,Found at:  http://eol.org/pages/6515035/overview
Ascochyta avenae var. avenae,Ascochyta avenae var. avenae,BIO_INFO,Found at:  http://eol.org/pages/6434970/overview
Ascochyta caulicola var. lupini,Ascochyta caulicola var. lupini,BIO_INFO,Found at:  http://eol.org/pages/6435320/overview
Ascochyta graminicola var. festucae,Ascochyta graminicola var. festucae,BIO_INFO,Found at:  http://eol.org/pages/6434911/overview
Ascochyta papaveris var. dicentrae,Ascochyta papaveris var. dicentrae,BIO_INFO,Found at:  http://eol.org/pages/6435772/overview
Ascochyta vulgaris var. philadelphi,Ascochyta vulgaris var. philadelphi,BIO_INFO,Found at:  http://eol.org/pages/6434989/overview
Bakerdania elliptica,Bakerdania elliptica,BIO_INFO,Found at:  http://www.organismnames.com/details.htm?lsid=565960
Balanococcus kwoni,Balanococcus kwoni,BIO_INFO,Found at:  http://www.organismnames.com/details.htm?lsid=1929660
Chloridium virescens var. virescens,Chloridium virescens var. virescens,BIO_INFO,Found at:  http://eol.org/pages/6418349/overview
Chrysophtharta bimaculata,Chrysophtharta bimaculata,BIO_INFO,Found at:  http://data.gbif.org/species/4733773/
Chytridium versatile var. aculis,Chytridium versatile var. aculis,BIO_INFO,Found at:  http://eol.org/pages/32472536/overview
Cionus longicollis f. montanus,Cionus longicollis f. montanus,BIO_INFO,Found at:  http://eol.org/pages/3315628/overview
Clavibacter michiganensis ssp michiganensis,Clavibacter michiganensis ssp. michiganensis,BIO_INFO,Found at:  http://eol.org/pages/1268655/overview
Clavibacter michiganensis ssp. michiganensis,Clavibacter michiganensis ssp. michiganensis,BIO_INFO,Found at:  http://eol.org/pages/1268655/overview
Clupeoid,Clupeoidei,Barnes 2008,
Colletotrichum dematium f. spinaceae,Colletotrichum dematium f. spinaceae,BIO_INFO,Found at:  http://eol.org/pages/32472803/overview
Coprinellus heptemerus f. heptemerus,Coprinellus heptemerus f. heptemerus,BIO_INFO,Found at:  http://eol.org/pages/32472986/overview
Coprinellus heptemerus f. parvisporus,Coprinellus heptemerus f. parvisporus,BIO_INFO,Found at:  http://eol.org/pages/32472987/overview
Cortinarius calochrous var. carolii,Cortinarius calochrous var. carolii,BIO_INFO,Found at:  http://eol.org/pages/32473133/overview
Cortinarius vulpinus ssp. pseudovulpinus,Cortinarius vulpinus ssp. pseudovulpinus,BIO_INFO,Found at:  http://eol.org/pages/11526561/overview
Cortinarius vulpinus ssp. vulpinus,Cortinarius vulpinus ssp. vulpinus,BIO_INFO,Found at:  http://eol.org/pages/6707174/overview
Cyathus olla f. olla,Cyathus olla f. olla,BIO_INFO,Found at:  http://eol.org/pages/6694654/overview
Dactylium dendroides ssp. leptosporum,Dactylium dendroides ssp. leptosporum,BIO_INFO,Found at:  http://eol.org/pages/11474292/overview
Decaisnina hoffrungii,Decaisnina hollrungii,JRFerrisParisButterflies,Found at:  http://eol.org/pages/5605833/overview
Dendrophoma convallariae var. cliviae,Dendrophoma convallariae var. cliviae,BIO_INFO,Found at:  http://eol.org/pages/6425384/overview
Dendrophthoe longiflora,Dendrophthoe longiflora,JRFerrisParisButterflies,Found at:  http://data.gbif.org/species/4002044/
Diplodia buxi var. minor,Diplodia buxi var. minor,BIO_INFO,Found at:  http://eol.org/pages/32474114/overview
Dothiorella pyrenophora var. mali,Dothiorella pyrenophora var. mali,BIO_INFO,Found at:  http://eol.org/pages/6436811/overview
Entoloma indutoides var.  griseorubidum,Entoloma indutoides var. griseorubidum,BIO_INFO,Found at:  http://eol.org/pages/11526324/overview
Entoloma indutoides var. indutoides,Entoloma indutoides var. indutoides,BIO_INFO,Found at:  http://eol.org/pages/6702164/overview
Eriophyes nervisequus var maculifer,Eriophyes nervisequus var. maculifer,BIO_INFO,Found at:  http://eol.org/pages/17262453/overview
Funchalia woodwardii,Funchalia woodwardi,Barnes 2008,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=107101
Fusicladium radiosum var. radiosum,Fusicladium radiosum var. radiosum,BIO_INFO,Found at:  http://eol.org/pages/6504903/overview
Glochidion subglacatum,Glochidion subfalcatum,JRFerrisParisButterflies,Found at:  http://eol.org/pages/1143125/overview
Helicanthes elasticus,Helicanthes elastica,JRFerrisParisButterflies,Found at:  http://eol.org/pages/5606316/overview
Inocybe acuta ssp. acuta,Inocybe acuta ssp. acuta,BIO_INFO,Found at:  http://eol.org/pages/32476288/overview
Korthalsella breviarticulata,Korthalsella breviarticulata,JRFerrisParisButterflies,Found at:  http://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Korthalsella~breviarticulata
Lachnum palearum var. palearum,Lachnum palearum var. palearum,BIO_INFO,Found at:  http://eol.org/pages/6462197/overview
Peneropolis proteus,Laevipeneroplis proteus,Roopnarine et al 2013,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=417777
Leuctra fusciventris,Leuctra fusciventris,SPIRE,Found at:  http://data.gbif.org/species/2001960/
Ligaria cuneiforma,Ligaria cuneifolia,JRFerrisParisButterflies,Found at:  http://eol.org/pages/5606706/overview
Macrophoma collabens var. aucubina,Macrophoma collabens var. aucubina,BIO_INFO,Found at:  http://eol.org/pages/6437160/overview
Macrophoma cylindrospora var. arbuti,Macrophoma cylindrospora var. arbuti,BIO_INFO,Found at:  http://eol.org/pages/6437181/overview
Macrophoma millepuncta var. spinosae,Macrophoma millepuncta var. spinosae,BIO_INFO,Found at:  http://eol.org/pages/32477290/overview
