original,corrected,reference,notes
Sargassum natans air bladder,Sargassum natans,Wrast 2008,
Scomber scrombus,Scomber scombrus,Barnes 2008,
Scicyonia typica,Sicyonia typica,Torruco and Gonzalez 1994,
Solanocera atlantidis,Solenocera atlantidis,Torruco and Gonzalez 1994,
Mantish shrimp sp.,Stomatopoda,Baremore 2010,common name is mantis shrimp
Mantish shrimp,Stomatopoda,,
Synalphaeus sp.,Synalpheus,Simons 1997,
Synopiidae Genus A,Synopiidae,Simons 1997,Genus A
Tethygaster sp.,Tethyaster,Torruco and Gonzalez 1994,
squid unidentified,Teuthida,Barnes 2008,
Squid beak,Teuthida,Wrast 2008,
unidentified squid,Teuthida,Barnes 2008,
Trichuirus lepturus,Trichiurus lepturus,Padilla Mancera 2005,
Aegires oritzi,Aegires ortizi,Roopnarine et al 2013,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=531080
Agaricus campestris var. equestris,Agaricus campestris var. equestris,BIO_INFO,Found at:  http://www.mycobank.org/Biolomics.aspx?Table=Mycobank&MycoBankNr_=346497
Agaricus urinascens var. excellens,Agaricus urinascens var. excellens,BIO_INFO,Found at:  http://www.mycobank.org/Biolomics.aspx?Table=Mycobank&MycoBankNr_=466165
Agaricus urinascens var. urinascens,Agaricus urinascens var. urinascens,BIO_INFO,Found at:  http://eol.org/pages/6719165/hierarchy_entries/52788441/overview
Priomis sp.,Ambassis,Roopnarine et al 2013,Priopis (old name?)  Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=320587
Amyema cambageni,Amyema cambagei,JRFerrisParisButterflies,Found at:  http://biodiversity.org.au/apni.taxon/112330.html
Amyema lucasii,Amyema lucasii,JRFerrisParisButterflies,Found at:  http://bie.ala.org.au/search?q=+Amyema+lucasii+
Amyema melaleucae,Amyema melaleucae,JRFerrisParisButterflies,found at:  http://bie.ala.org.au/search?q=+Amyema+melaleucae+
Arenaeus cribarius,Arenaeus cribrarius,Torruco and Gonzalez 1994,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=158046
Aricidea succinea,Aricidea suecica,Simons 1997,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=130572
Liomophora,Chaetodon,Roopnarine et al 2013,Linophora (old name) Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=296995
Asterocystis ramosa,Chroodactylon ornatum,Roopnarine et al 2013,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=145685
Loligo pealei or Illex illecebrosus,Decapodiformes,Barnes 2008,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=325342
Euphausid furcilia,Euphausiacea,Barnes 2008,
Gadoid,Gadiformes,Barnes 2008,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=10313
Gammarus micromucronatus,Gammarus mucronatus,McMichael,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=158094
Diapterus/Eugerres spp,Gerreidae,Blewett 2006,
Limnaria lingnorum,Limnoria lignorum,Saloman and Naughton 1983,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=118917
Navicula unk. A,Navicula,SPIRE,
Oedicerotidae Genus C,Oedicerotidae,Simons 1997,
Oedicerotidae Type A,Oedicerotidae,Simons 1997,
Oedicerotidae Type B,Oedicerotidae,Simons 1997,
Opionereis sp.,Ophionereis,Torruco and Gonzalez 1994,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=123553
Opi robinsi,Opistognathus robinsi,Blewett 2006,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=276474
Oxyurostylus sp.,Oxyurostylis,Simons 1997,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=156883
Protopalythoa fusca,Palythoa fusca,Roopnarine et al 2013,Founds at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=582036
Pandalidae Type B,Pandalidae,Simons 1997,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=106789
Pardaliscidae Genus B,Pardaliscidae,Simons 1997,
Pardaliscidae Genus A,Pardaliscidae,Simons 1997,
Periclemenes americanus,Periclimenes,Simons 1997,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=107035
