ID,Common_Name,Scientific_Name,Taxonomy,Longitude,Latitude,Altitude_min_m,Altitude_mean_m,Altitude_max_m,Location_Region,Location_Specific,Habitat_type,Observation_Month_Begin,Observation_Year_Begin,Observation_Month_End,Observation_Year_End,Observation_Season,Prey_Kingdom,Prey_Phylum,Prey_Class,Prey_Order,Prey_Suborder,Prey_Family,Prey_Genus,Prey_Scientific_Name,Prey_Stage,Prey_Part,Prey_Common_Name,Fraction_Diet_By_Wt_or_Vol,Fraction_Diet_By_Items,Fraction_Occurrence,Fraction_Diet_Unspecified,Item Sample Size,Bird Sample size,Sites,Study Type,Notes,Source
45,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,coleoptera,,elateridae,,,adult,,click beetles,trace,,0.0480,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
46,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,coleoptera,,curculionidae,,,adult,,weevils,0.003,,0.0480,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
47,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,coleoptera,,scarabaeidea,,,adult,,scarab beetles,0.028,,0.0950,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
48,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,coleoptera,,cerambycidae,,,adult,,long horned beetles,0.056,,0.0950,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
49,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Coleoptera,,unknown,,,adult,,,0.011,,0.0950,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
50,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Mecoptera,,panorpidae,,,adult,,common scorpion fly,trace,,0.0480,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
51,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Lepidoptera,,Noctuidae,,,adult,,noctuid moths,0.157,,0.1900,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
52,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Lepidoptera,,limacodidae,,,adult,,slug caterpillars,trace,,0.0480,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
53,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Lepidoptera,,saturniidae,,,adult,,silkworm moths,0.014,,0.0480,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
54,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Lepidoptera,,unknown,,,adult,,,0.085,,0.0950,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
55,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Diptera,,tabanidae,,,adult,,horse flies,0.031,,0.0950,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
