PresentAtCSM	PresentAtEPB	PresentAtBSQ	PresentAtAnyEstuary	ConsumerNodeID	ResourceNodeID	ConsumerSpeciesID	ResourceSpeciesID	ConsumerSpeciesID.StageID	ResourceSpeciesID.StageID	LinkTypeID	LinkType	LinkEvidence	LinkEvidenceNotes	LinkFrequency	LinkN	DietFraction	ConsumptionRate	VectorFrom	PreyFrom
1	0	0	1	94	359	70	239	70.1	239.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	360	70	240	70.1	240.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	364	70	244	70.1	244.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	365	70	245	70.1	245.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	366	70	246	70.1	246.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	367	70	247	70.1	247.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	369	70	250	70.1	250.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	370	70	251	70.1	251.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	374	70	255	70.1	255.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	384	70	265	70.1	265.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	385	70	266	70.1	266.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	386	70	267	70.1	267.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	387	70	268	70.1	268.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	388	70	269	70.1	269.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	390	70	271	70.1	271.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	391	70	272	70.1	272.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	392	70	273	70.1	273.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	393	70	274	70.1	274.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	394	70	275	70.1	275.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	395	70	276	70.1	276.3	16	predation on free-living non-feeding stage	modeled							
1	0	0	1	94	396	70	277	70.1	277.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	399	70	279	70.1	279.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	400	70	280	70.1	280.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	95	12	71	12	71.1	12.1	1	predation	inferred							
1	0	0	1	95	50	71	25	71.1	25.2	1	predation	inferred							
1	0	0	1	95	68	71	44	71.1	44.2	1	predation	inferred							
1	1	0	1	95	101	71	61	71.1	61.2	1	predation	inferred							
1	1	0	1	95	104	71	64	71.1	64.2	1	predation	inferred							
1	0	0	1	95	105	71	65	71.1	65.2	1	predation	inferred							
1	0	0	1	95	106	71	66	71.1	66.2	1	predation	inferred							
1	0	0	1	95	107	71	67	71.1	67.2	1	predation	inferred							
1	1	0	1	95	108	71	68	71.1	68.2	1	predation	inferred							
1	0	0	1	95	110	71	70	71.1	70.2	1	predation	inferred							
1	1	0	1	95	111	71	71	71.1	71.2	1	predation	inferred							
1	0	0	1	95	112	71	72	71.1	72.2	1	predation	inferred							
1	1	0	1	95	113	71	73	71.1	73.2	1	predation	inferred							
1	1	0	1	95	353	71	233	71.1	233.3	15	trophic transmission	inferred							
1	1	0	1	95	354	71	234	71.1	234.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	95	355	71	235	71.1	235.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	95	357	71	237	71.1	237.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	95	358	71	238	71.1	238.3	15	trophic transmission	inferred							
1	1	0	1	95	359	71	239	71.1	239.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	95	360	71	240	71.1	240.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	95	364	71	244	71.1	244.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	95	365	71	245	71.1	245.3	16	predation on free-living non-feeding stage	inferred							
